Id Produto;Nome Produto;Categoria;Marca;Preço Unit.;Custo Unit.
759;"Contoso 90W AC/DC Power Adapter E300 Black";"Computers";"Contoso";11,9;6,07
824;"Contoso 90W AC/DC Power Adapter E300 Grey";"Computers";"Contoso";11,9;6,07
794;"Contoso 90W AC/DC Power Adapter E300 White";"Computers";"Contoso";11,9;6,07
768;"Contoso ADSL Modem Splitter/Filter X 1 E100 Black";"Computers";"Contoso";17,9;9,13
833;"Contoso ADSL Modem Splitter/Filter X 1 E100 Grey";"Computers";"Contoso";17,9;9,13
803;"Contoso ADSL Modem Splitter/Filter X 1 E100 White";"Computers";"Contoso";17,9;9,13
769;"Contoso ADSL Modem Splitter/Filter X 2 E200 Black";"Computers";"Contoso";22,9;11,68
834;"Contoso ADSL Modem Splitter/Filter X 2 E200 Grey";"Computers";"Contoso";22,9;11,68
804;"Contoso ADSL Modem Splitter/Filter X 2 E200 White";"Computers";"Contoso";22,9;11,68
770;"Contoso ADSL Modem Splitter/Filter X 3 E300 Black";"Computers";"Contoso";52,9;26,97
835;"Contoso ADSL Modem Splitter/Filter X 3 E300 Grey";"Computers";"Contoso";52,9;26,97
805;"Contoso ADSL Modem Splitter/Filter X 3 E300 White";"Computers";"Contoso";52,9;26,97
766;"Contoso Battery charger - bike E200 Black";"Computers";"Contoso";19,9;10,15
831;"Contoso Battery charger - bike E200 Grey";"Computers";"Contoso";19,9;10,15
801;"Contoso Battery charger - bike E200 White";"Computers";"Contoso";19,9;10,15
887;"Contoso Bluetooth Notebook Mouse E70 Black";"Computers";"Contoso";50;25,49
890;"Contoso Bluetooth Notebook Mouse E70 Grey";"Computers";"Contoso";50;25,49
889;"Contoso Bluetooth Notebook Mouse E70 Silver";"Computers";"Contoso";50;25,49
888;"Contoso Bluetooth Notebook Mouse E70 White";"Computers";"Contoso";50;25,49
883;"Contoso Bluetooth Notebook Mouse X305 Black";"Computers";"Contoso";150;49,7
886;"Contoso Bluetooth Notebook Mouse X305 Grey";"Computers";"Contoso";150;49,7
885;"Contoso Bluetooth Notebook Mouse X305 Silver";"Computers";"Contoso";150;49,7
884;"Contoso Bluetooth Notebook Mouse X305 White";"Computers";"Contoso";150;49,7
842;"Contoso Bright Light battery E20 Black";"Computers";"Contoso";26,9;13,71
843;"Contoso Bright Light battery E20 blue";"Computers";"Contoso";26,9;13,71
844;"Contoso Bright Light battery E20 Pink";"Computers";"Contoso";26,9;13,71
845;"Contoso Bright Light battery E20 White";"Computers";"Contoso";26,9;13,71
772;"Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black";"Computers";"Contoso";11,9;6,07
837;"Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey";"Computers";"Contoso";11,9;6,07
807;"Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White";"Computers";"Contoso";11,9;6,07
745;"Contoso Car power adapter M90 Black";"Computers";"Contoso";19,95;9,17
810;"Contoso Car power adapter M90 Grey";"Computers";"Contoso";19,95;9,17
780;"Contoso Car power adapter M90 White";"Computers";"Contoso";19,95;9,17
758;"Contoso Connectivity Starter Kit Smart Buy M680 Black";"Computers";"Contoso";27,9;12,83
823;"Contoso Connectivity Starter Kit Smart Buy M680 Grey";"Computers";"Contoso";27,9;12,83
793;"Contoso Connectivity Starter Kit Smart Buy M680 White";"Computers";"Contoso";27,9;12,83
751;"Contoso Desktop Alternative Bundle E200 Black";"Computers";"Contoso";11,5;5,86
816;"Contoso Desktop Alternative Bundle E200 Grey";"Computers";"Contoso";11,5;5,86
786;"Contoso Desktop Alternative Bundle E200 White";"Computers";"Contoso";11,5;5,86
763;"Contoso Digital camera accessory kit M200 Black";"Computers";"Contoso";23,9;10,99
776;"Contoso Digital Camera Accessory kit M200 Blue";"Computers";"Contoso";23,9;10,99
828;"Contoso Digital camera accessory kit M200 Grey";"Computers";"Contoso";23,9;10,99
798;"Contoso Digital camera accessory kit M200 White";"Computers";"Contoso";23,9;10,99
744;"Contoso Dual USB Power Adapter - power adapter E300 Black";"Computers";"Contoso";39,9;20,34
809;"Contoso Dual USB Power Adapter - power adapter E300 Grey";"Computers";"Contoso";39,9;20,34
779;"Contoso Dual USB Power Adapter - power adapter E300 White";"Computers";"Contoso";39,9;20,34
750;"Contoso Education Essentials Bundle M300 Black";"Computers";"Contoso";9,5;4,37
815;"Contoso Education Essentials Bundle M300 Grey";"Computers";"Contoso";9,5;4,37
785;"Contoso Education Essentials Bundle M300 White";"Computers";"Contoso";9,5;4,37
748;"Contoso Education Supplies Bundle E200 Black";"Computers";"Contoso";13,5;6,88
813;"Contoso Education Supplies Bundle E200 Grey";"Computers";"Contoso";13,5;6,88
783;"Contoso Education Supplies Bundle E200 White";"Computers";"Contoso";13,5;6,88
757;"Contoso Enhanced Capacity Battery M800 Black";"Computers";"Contoso";27,9;12,83
822;"Contoso Enhanced Capacity Battery M800 Grey";"Computers";"Contoso";27,9;12,83
792;"Contoso Enhanced Capacity Battery M800 White";"Computers";"Contoso";27,9;12,83
755;"Contoso Home/Office Laptop Power Adapter E300 Black";"Computers";"Contoso";25,5;13
820;"Contoso Home/Office Laptop Power Adapter E300 Grey";"Computers";"Contoso";25,5;13
790;"Contoso Home/Office Laptop Power Adapter E300 White";"Computers";"Contoso";25,5;13
754;"Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black";"Computers";"Contoso";29,9;15,24
819;"Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey";"Computers";"Contoso";29,9;15,24
789;"Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White";"Computers";"Contoso";29,9;15,24
840;"Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold";"Computers";"Contoso";39,9;18,35
850;"Contoso Laptop Keyboard X105 Black";"Computers";"Contoso";230,9;76,5
852;"Contoso Laptop Keyboard X105 Brown";"Computers";"Contoso";230,9;76,5
853;"Contoso Laptop Keyboard X105 Silver";"Computers";"Contoso";230,9;76,5
851;"Contoso Laptop Keyboard X105 White";"Computers";"Contoso";230,9;76,5
